00024;WHAT ARE THE CHARACTERISTICS OF PATIENTS IN WHOM CF IS INCOMPLETELY   MANIFESTED?
00029;WHAT IS THE PATHOLOGY OF THE REPRODUCTIVE SYSTEM (MALE OR FEMALE) IN   CF?
00028;WHAT IS THE INCIDENCE OF MALE FERTILITY IN CF?
00038;CAN CF BE DIAGNOSED PRENATALLY?
00039;HOW MAY HETEROZYGOTES FOR CF BE IDENTIFIED?
00034;WHAT ALTERNATIVE TECHNIQUES OTHER THAN THE CLASSICAL GIBSON-COOKE   QUANTITATIVE PILOCARPINE IONTOPHORESIS TEST (WITH TITRIMETRIC ANALYSIS   OF CHLORIDE) ARE AVAILABLE FOR SWEAT TESTING; WHAT ARE THEIR RELATIVE   ADVANTAGES AND DISADVANTAGES?
00035;HAS ANY CF PATIENT BEEN FOUND TO HAVE CONSISTENTLY NORMAL SWEAT TESTS? 
00036;WHAT IS THE CONCENTRATION OF POTASSIUM IN SWEAT FROM CF PATIENTS?
00037;WHAT TECHNIQUES ARE AVAILABLE FOR SCREENING OF NEWBORN INFANTS FOR CF,   AND WHAT FACTORS CONTRIBUTE TO ERRONEOUS RESULTS OF THESE TESTS?
00030;WHAT ARE THE RESULTS OF GENETIC COUNSELING OF FAMILIES OF CHILDREN WITH   CF?
00031;WHAT ARE THE MAJOR PSYCHOLOGICAL OR SOCIAL EFFECTS OF CF ON PATIENTS   AND THEIR FAMILIES?
00032;WHAT FACTORS INFLUENCE COMPLIANCE WITH PRESCRIBED THERAPY IN CF   PATIENTS?
00033;WHAT CONDITIONS OR FACTORS LEAD TO ERRONEOUS SWEAT TESTS?
00049;IS RNA METHYLATION OR POLYAMINE METABOLISM NORMAL IN CF PATIENTS?
00048;DO FIBROBLASTS FROM CF PATIENTS GROW AT A NORMAL RATE?
00041;IS VITAMIN D METABOLISM NORMAL IN CF PATIENTS?
00040;OTHER THAN THE SWEAT TEST, WHAT TECHNIQUES MAY BE USEFUL (BEYOND THE   NEONATAL PERIOD) FOR THE DIAGNOSIS OF CF?
00043;IS SALT (SODIUM AND/OR CHLORIDE) TRANSPORT/PERMEABILITY ABNORMAL IN CF?
00042;WHAT ABNORMALITIES OF INSULIN SECRETION OR INSULIN METABOLISM OCCUR IN   CF PATIENTS?
00045;WHAT ABNORMALITIES OF PROSTAGLANDIN METABOLISM HAVE BEEN DESCRIBED IN   CF PATIENTS?
00044;WHAT STRUCTURAL OR ENZYMATIC DIFFERENCES ARE THERE BETWEEN FIBROBLASTS   FROM CF PATIENTS AND NON-CF PATIENTS?
00047;WHAT DIFFERENCES BETWEEN NORMAL SUBJECTS AND CF PATIENTS HAVE BEEN   DESCRIBED IN THE FUNCTION OR METABOLISM OF HORMONES?
00046;WHAT ARE THE PROPERTIES AND ACTIVITY OF GALACTOSYLTRANSFERASE ENZYMES   FROM CF PATIENTS?
00058;WHAT IS THE IMMUNOLOGIC RESPONSE TO PULMONARY INFECTION IN CF PATIENTS?
00059;WHAT IMMUNOLOGIC ABNORMALITIES HAVE BEEN FOUND IN CF PATIENTS?
00052;WHAT IS KNOWN ABOUT PROLACTIN IN CF PATIENTS?
00053;DOES SECRETORY IGA PROTECT CF PATIENTS AGAINST BACTERIAL COLONIZATION   OR INFECTION?
00050;WHAT DEFECTS IN THE SYNTHESIS OR METABOLISM OF CYCLIC NUCLEOTIDES HAVE   BEEN DESCRIBED IN CF PATIENTS?
00051;WHAT CIRCULATING OR SECRETED "FACTORS" HAVE BEEN DESCRIBED IN CF   PATIENTS? ("FACTORS" ARE UNIDENTIFIED BIOLOGICALLY ACTIVE MOLECULES   THOUGHT TO PLAY SOME PATHOGENETIC ROLE IN CYSTIC FIBROSIS).
00056;WHAT IS THE RELATIONSHIP BETWEEN NUTRITION AND PULMONARY HOST DEFENSES   AGAINST BACTERIAL INFECTION IN CF PATIENTS?
00057;WHAT IS THE PATHOPHYSIOLOGIC ROLE OF CIRCULATING ANTIBODIES TO   PSEUDOMONAS AERUGINOSA IN CF PATIENTS?
00054;WHAT IS THE RELATIONSHIP OF ALLERGY OR HYPERSENSITIVITY TO LUNG DISEASE   IN CF PATIENTS?
00055;WHAT ARE THE INTERACTIONS BETWEEN PROTEASES (ENDOGENOUS OR BACTERIAL   ORIGIN) AND ANTIPROTEASES IN THE LUNGS OF CF PATIENTS?
00067;WHAT IS THE PROGNOSIS FOR PATIENTS WHO HAVE HAD AN EPISODE OF   RESPIRATORY FAILURE?
00066;WHAT ARE THE PATHOLOGIC FEATURES OF LUNG DISEASE IN CF PATIENTS?
00065;WHAT ARE THE ABNORMALITIES OF PULMONARY FUNCTION IN CF PATIENTS?
00064;HOW DOES LUNG FUNCTION CHANGE WITH TIME IN CF PATIENTS? (TIME PERIODS   GREATER THAN A DAY)
00063;WHAT ARE THE BIOCHEMICAL OR MICROSCOPIC CHARACTERISTICS OF AIRWAY   INFLAMMATION IN CF PATIENTS?
00062;WHAT ARE THE CLINICAL FEATURES OF LUNG DISEASE IN CF PATIENTS?
00061;IS THERE A DEFECT IN MUCOCILIARY TRANSPORT (CLEARANCE) IN THE   RESPIRATORY TRACT OF CF PATIENTS?
00060;WHAT ARE THE EFFECTS OF CF ON THE PULMONARY CIRCULATION?
00069;WHAT IS THE BEST WAY TO TREAT PNEUMOTHORAX IN CF PATIENTS?
00068;WHAT ARE THE EFFECTS OF BRONCHODILATORS IN CF PATIENTS?
00100;WHAT IS THE INCIDENCE OF AND TREATMENT FOR HYPERTROPHIC   OSTEOARTHROPATHY IN CF PATIENTS?
00070;WHAT IS THE TREATMENT FOR AND PROGNOSIS OF HEMOPTYSIS IN CF PATIENTS?
00071;WHAT IS THE PROGNOSIS FOR INFANTS WITH WHEEZING AND CYSTIC FIBROSIS?
00072;WHAT IS THE BEST TREATMENT FOR NASAL POLYPS IN CF PATIENTS?
00073;HOW EFFECTIVE IS BRONCHIAL LAVAGE IN CF PATIENTS?
00074;WHAT ARE THE RESULTS OF MECHANICAL VENTILATION IN CF PATIENTS WITH   RESPIRATORY FAILURE?
00075;WHAT IS THE BEST TREATMENT FOR PULMONARY HYPERTENSION AND/OR COR   PULMONALE IN CF PATIENTS?
00076;WHAT ARE THE EFFECTS OF EXERCISE TRAINING PROGRAMS ON LUNG FUNCTION IN   CF PATIENTS?
00077;WHAT TECHNIQUES ARE EFFECTIVE IN PROMOTING CLEARANCE OF MUCUS FROM THE   LUNGS OF CF PATIENTS?
00078;WHAT SPECIAL CONSIDERATIONS ARE THERE FOR TREATMENT OF CF PATIENTS WITH   ANTIBIOTICS (IE, ARE THE PHARMACODYNAMICS OF ANTIBIOTICS DIFFERENT IN   CF PATIENTS, OR ARE THERE OTHER SPECIAL PROBLEMS PECULIAR TO CF)?
00079;WHAT IS THE ROLE OF ORALLY ADMINISTERED ANTIBIOTICS IN THE TREATMENT OF   CF PATIENTS?
00089;WHAT IS THE EPIDEMIOLOGY OF PSEUDOMONAS AERUGINOSA IN CF PATIENTS?   SPECIFICALLY, DO CF PATIENTS SPREAD PSEUDOMONAS AERUGINOSA TO OTHER   PATIENTS OR TO OTHER INDIVIDUALS (FAMILY)?
00088;WHAT IS THE ROLE OF VIRAL INFECTION IN THE LUNG DISEASE OF CF PATIENTS?
00085;DO CF PATIENTS EVER DEVELOP INFECTION IN ORGANS OTHER THAN THE LUNG? IF   SO, IN WHAT ORGANS?
00084;WHAT IS THE RELATIONSHIP BETWEEN HAEMOPHILUS INFLUENZAE AND PSEUDOMONAS   AERUGINOSA IN CF PATIENTS?
00087;WHAT IS THE ROLE OF FUNGI IN THE PATHOGENESIS OF LUNG DISEASE IN CF   PATIENTS?
00086;WHAT IS THE ROLE OF BACTERIA OTHER THAN PSEUDOMONAS AERUGINOSA,   STAPHYLOCOCCUS AUREUS, OR HAEMOPHILUS INFLUENZAE IN THE PATHOGENESIS   OF LUNG DISEASE IN CF PATIENTS?
00081;HOW EFFECTIVE ARE INHALATIONS OF MUCOLYTIC AGENTS IN THE TREATMENT OF   CF PATIENTS?
00080;WHAT IS THE EVIDENCE THAT COMBINATION THERAPY WITH AMINOGLYCOSIDES AND   SEMISYNTHETIC PENICILLINS IS MORE EFFECTIVE THAN THERAPY WITH EITHER   ALONE?
00083;WHAT IS THE ROLE OF BACTERIAL PHAGOCYTOSIS (BY ALVEOLAR MACROPHAGES OR   POLYMORPHONUCLEAR LEUKOCYTES) IN LUNG DISEASE IN CF PATIENTS?
00082;WHAT IS THE ROLE OF AEROSOLS IN THE TREATMENT OF LUNG DISEASE IN CF   PATIENTS?
00005;IS CF MUCUS ABNORMAL?
00004;WHAT IS THE LIPID COMPOSITION OF CF RESPIRATORY SECRETIONS?
00007;ARE MUCUS GLYCOPROTEINS DEGRADED DIFFERENTLY IN CF PATIENTS AS COMPARED   TO THOSE FROM NORMAL SUBJECTS?
00006;WHAT IS THE EFFECT OF WATER OR OTHER THERAPEUTIC AGENTS ON THE PHYSICAL   PROPERTIES (VISCOSITY, ELASTICITY) OF SPUTUM OR BRONCHIAL SECRETIONS   FROM CF PATIENTS?
00001;WHAT ARE THE EFFECTS OF CALCIUM ON THE PHYSICAL PROPERTIES OF MUCUS   FROM CF PATIENTS? 
00003;HOW ARE SALIVARY GLYCOPROTEINS FROM CF PATIENTS DIFFERENT FROM THOSE OF   NORMAL SUBJECTS?
00002;CAN ONE DISTINGUISH BETWEEN THE EFFECTS OF MUCUS HYPERSECRETION AND   INFECTION ON THE SUBMUCOSAL GLANDS OF THE RESPIRATORY TRACT IN CF?
00009;WHAT IS THE ASSOCIATION BETWEEN LIVER DISEASE (CIRRHOSIS) AND VITAMIN A   METABOLISM IN CF?
00008;WHAT HISTOCHEMICAL DIFFERENCES HAVE BEEN DESCRIBED BETWEEN NORMAL AND   CF RESPIRATORY EPITHELIA?
